Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
8,Antigua and Barbuda,486,Bananas,5312,Area harvested,ha,14,F,16,F,18,F,19,F,20,F,21,Im,22,Im,22,Im,23,Im,25,Im,25,F,28,Im,35,F,33,Im,30,Im
8,Antigua and Barbuda,486,Bananas,5419,Yield,hg/ha,114286,Fc,112500,Fc,111111,Fc,110526,Fc,110000,Fc,103675,Fc,101336,Fc,98746,Fc,95219,Fc,91961,Fc,88463,Fc,84741,Fc,71429,Fc,76630,Fc,87661,Fc
8,Antigua and Barbuda,486,Bananas,5510,Production,tonnes,160,F,180,F,200,F,210,F,220,F,215,Im,220,Im,220,Im,224,Im,227,Im,221,Im,240,Im,250,F,255,Im,262,Im
8,Antigua and Barbuda,414,"Beans, green",5312,Area harvested,ha,20,F,21,Im,22,F,24,F,25,F,24,Im,25,F,24,Im,24,Im,24,Im,22,Im,24,Im,25,F,25,Im,26,Im
8,Antigua and Barbuda,414,"Beans, green",5419,Yield,hg/ha,35000,Fc,36167,Fc,36364,Fc,37500,Fc,38000,Fc,38164,Fc,38388,Fc,38561,Fc,38707,Fc,38887,Fc,39063,Fc,39237,Fc,40000,Fc,39469,Fc,38202,Fc
8,Antigua and Barbuda,414,"Beans, green",5510,Production,tonnes,70,F,75,F,80,F,90,F,95,F,91,Im,96,Im,92,Im,92,Im,92,Im,87,F,94,Im,100,F,98,Im,100,Im
8,Antigua and Barbuda,358,Cabbages and other brassicas,5312,Area harvested,ha,25,F,25,Im,26,F,28,F,30,F,29,Im,30,F,30,F,30,Im,30,Im,31,Im,31,Im,30,F,32,Im,33,Im
8,Antigua and Barbuda,358,Cabbages and other brassicas,5419,Yield,hg/ha,50000,Fc,50315,Fc,50000,Fc,50000,Fc,50000,Fc,48113,Fc,47467,Fc,46804,Fc,45708,Fc,44920,Fc,44121,Fc,43316,Fc,41667,Fc,41760,Fc,41841,Fc
8,Antigua and Barbuda,358,Cabbages and other brassicas,5510,Production,tonnes,125,F,128,Im,130,F,140,F,150,F,140,Im,142,Im,140,Im,137,Im,136,Im,135,Im,134,Im,125,F,133,Im,138,Im
8,Antigua and Barbuda,426,Carrots and turnips,5312,Area harvested,ha,55,F,57,Im,58,Im,58,F,60,F,64,Im,65,Im,65,F,70,Im,73,Im,76,Im,79,Im,97,F,85,Im,82,Im
8,Antigua and Barbuda,426,Carrots and turnips,5419,Yield,hg/ha,40000,Fc,40659,Fc,40335,Fc,40517,Fc,40000,Fc,38907,Fc,38511,Fc,40000,Fc,37376,Fc,36622,Fc,35876,Fc,35115,Fc,30928,Fc,33611,Fc,34393,Fc
8,Antigua and Barbuda,426,Carrots and turnips,5510,Production,tonnes,220,F,233,Im,235,Im,235,F,240,F,247,Im,252,Im,260,F,263,Im,269,Im,274,Im,279,Im,300,F,285,Im,281,Im
8,Antigua and Barbuda,125,Cassava,5312,Area harvested,ha,10,F,10,Im,12,F,15,F,18,F,17,Im,20,F,19,Im,20,Im,21,Im,22,Im,22,Im,20,F,24,Im,26,Im
8,Antigua and Barbuda,125,Cassava,5419,Yield,hg/ha,45196,Fc,44770,Fc,45000,Fc,40000,Fc,41667,Fc,44297,Fc,40000,Fc,44298,Fc,45635,Fc,46639,Fc,47601,Fc,48582,Fc,57500,Fc,50141,Fc,49392,Fc
8,Antigua and Barbuda,125,Cassava,5510,Production,tonnes,45,Im,45,F,54,F,60,F,75,F,74,Im,80,F,85,Im,91,Im,97,Im,103,Im,109,Im,115,F,120,Im,127,Im
8,Antigua and Barbuda,401,"Chillies and peppers, green",5312,Area harvested,ha,15,F,16,Im,17,Im,18,F,20,F,19,Im,19,Im,19,Im,20,Im,20,Im,20,Im,20,Im,20,F,20,Im,21,Im
8,Antigua and Barbuda,401,"Chillies and peppers, green",5419,Yield,hg/ha,46667,Fc,46966,Fc,47356,Fc,50000,Fc,47500,Fc,46938,Fc,46873,Fc,46843,Fc,46807,Fc,46776,Fc,46748,Fc,46722,Fc,45000,Fc,47287,Fc,47202,Fc
8,Antigua and Barbuda,401,"Chillies and peppers, green",5510,Production,tonnes,70,F,75,F,80,Im,90,F,95,F,90,Im,91,Im,91,Im,91,Im,92,Im,92,Im,93,Im,90,F,96,Im,98,Im
8,Antigua and Barbuda,767,Cotton lint,5510,Production,tonnes,24,Im,27,F,28,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F,30,F,32,F
